Apr 07 13:43:07.435 acc-5g-t user.debug|1:1689244480|FRM_MEM  |ENTER  |-|framework/system/memory/module/memory.cpp:109|poolAlloc|size = 32
Apr 07 13:43:07.435 acc-5g-t user.debug|1:1689244480|FRM_MEM  |EXIT   |-|framework/system/memory/module/memory.cpp:114|poolAlloc|mem = 0x2c32db0
Apr 07 13:43:07.435 acc-5g-t user.debug|1:1689244480|FRM_MEM  |ENTER  |-|framework/system/memory/module/memory.cpp:109|poolAlloc|size = 32
Apr 07 13:43:07.435 acc-5g-t user.debug|1:1689244480|FRM_MEM  |EXIT   |-|framework/system/memory/module/memory.cpp:114|poolAlloc|mem = 0x2c32de0
Apr 07 13:43:07.435 acc-5g-t user.info |1:1689244480|FRM_FSM  |       |-|framework/fsm/library/fsm.cpp:166|State|Child list sctpTesterStateTop - start
Apr 07 13:43:07.435 acc-5g-t user.info |1:1689244480|FRM_FSM  |       |-|framework/fsm/library/fsm.cpp:175|State|0x2c32de0: Parent (null) = 0 ((nil),0x2c32db0)
Apr 07 13:43:07.435 acc-5g-t user.info |1:1689244480|FRM_FSM  |       |-|framework/fsm/library/fsm.cpp:175|State|0x2c32db0: Parent sctpTesterStateTop = 1 (0x2c32de0,(nil))
Apr 07 13:43:07.435 acc-5g-t user.info |1:1689244480|FRM_FSM  |       |-|framework/fsm/library/fsm.cpp:178|State|Child list sctpTesterStateTop - end
Apr 07 13:43:07.435 acc-5g-t user.debug|1:1689244480|FRM_FSM  |EXIT   |-|framework/fsm/library/fsm.cpp:180|State|void
Apr 07 13:43:07.435 acc-5g-t user.debug|1:1689244480|FRM_FSM  |ENTER  |-|framework/fsm/library/fsm.cpp:119|State|name = sctpTesterStateIdle, parentRef = sctpTesterStateTop
Apr 07 13:43:07.435 acc-5g-t user.debug|1:1689244480|FRM_MEM  |ENTER  |-|framework/system/memory/module/memory.cpp:109|poolAlloc|size = 32
Apr 07 13:43:07.435 acc-5g-t user.debug|1:1689244480|FRM_MEM  |EXIT   |-|framework/system/memory/module/memory.cpp:114|poolAlloc|mem = 0x2c32e10
Apr 07 13:43:07.435 acc-5g-t user.debug|1:1689244480|FRM_MEM  |ENTER  |-|framework/system/memory/module/memory.cpp:109|poolAlloc|size = 32
Apr 07 13:43:07.435 acc-5g-t user.debug|1:1689244480|FRM_MEM  |EXIT   |-|framework/system/memory/module/memory.cpp:114|poolAlloc|mem = 0x2c32e40
Apr 07 13:43:07.435 acc-5g-t user.debug|1:1689244480|FRM_MEM  |ENTER  |-|framework/system/memory/module/memory.cpp:109|poolAlloc|size = 32
Apr 07 13:43:07.435 acc-5g-t user.debug|1:1689244480|FRM_MEM  |EXIT   |-|framework/system/memory/module/memory.cpp:114|poolAlloc|mem = 0x2c32e70
Apr 07 13:43:07.435 acc-5g-t user.info |1:1689244480|FRM_FSM  |       |-|framework/fsm/library/fsm.cpp:166|State|Child list sctpTesterStateIdle - start
Apr 07 13:43:07.435 acc-5g-t user.info |1:1689244480|FRM_FSM  |       |-|framework/fsm/library/fsm.cpp:175|State|0x2c32e70: Parent (null) = 0 ((nil),0x2c32e40)
Apr 07 13:43:07.436 acc-5g-t user.info |1:1689244480|FRM_FSM  |       |-|framework/fsm/library/fsm.cpp:175|State|0x2c32e40: Parent sctpTesterStateTop = 1 (0x2c32e70,0x2c32e10)
Apr 07 13:43:07.436 acc-5g-t user.info |1:1689244480|FRM_FSM  |       |-|framework/fsm/library/fsm.cpp:175|State|0x2c32e10: Parent sctpTesterStateIdle = 2 (0x2c32e40,(nil))
Apr 07 13:43:07.436 acc-5g-t user.info |1:1689244480|FRM_FSM  |       |-|framework/fsm/library/fsm.cpp:178|State|Child list sctpTesterStateIdle - end
Apr 07 13:43:07.436 acc-5g-t user.debug|1:1689244480|FRM_FSM  |EXIT   |-|framework/fsm/library/fsm.cpp:180|State|void
Apr 07 13:43:07.436 acc-5g-t user.debug|1:1689244480|FRM_FSM  |ENTER  |-|framework/fsm/library/fsm.cpp:119|State|name = pdcpStateTop, parentRef = (null)
Apr 07 13:43:07.436 acc-5g-t user.debug|1:1689244480|FRM_MEM  |ENTER  |-|framework/system/memory/module/memory.cpp:109|poolAlloc|size = 32
Apr 07 13:43:07.436 acc-5g-t user.debug|1:1689244480|FRM_MEM  |EXIT   |-|framework/system/memory/module/memory.cpp:114|poolAlloc|mem = 0x2c32ea0
Apr 07 13:43:07.436 acc-5g-t user.debug|1:1689244480|FRM_MEM  |ENTER  |-|framework/system/memory/module/memory.cpp:109|poolAlloc|size = 32
Apr 07 13:43:07.436 acc-5g-t user.debug|1:1689244480|FRM_MEM  |EXIT   |-|framework/system/memory/module/memory.cpp:114|poolAlloc|mem = 0x2c32ed0
